_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,Güncelleme Tarihi / Updated as of,42415.0,_unnamed_7,USD/TRY=,2.9228,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17,_unnamed_18,_unnamed_19,_unnamed_20,_unnamed_21,_unnamed_22,_unnamed_23,_unnamed_24,_unnamed_25,_unnamed_26,_unnamed_27
Sayı,ISIN Kodu,İlgili Menkul Kıymet,İhraçcı Kurum,İhraç Türü,Getiri Türü,MK Türü,Yıllık Kupon Sayısı,Para Birimi,Grup Kodu,İlk İhraç Tarihi,İtfa Tarihi,Vadeye Kalan Gün,Toplam İhraç Tutarı Nom.,Son İhraç Tarihi,Son İhraç Fiyatı,Son İhraç Getirisi % (yıllık basit),Gösterge Fiyat,Sonraki Kupon Tarihi,Sonraki Kupon Oranı %,Ek Getiri (%) (*),Dolaşımdaki Tutar,Emir Giriş Yöntemi,İşlemiş Faiz/Kira,Temiz Fiyat,Kirli Fiyat,Takas Fiyatı,Getiri,Bileşik Getiri,Gün Sayım Konvansiyonu,Açıklamalar
No,ISIN Code,Related Security,Issuer,Type of Issuance,Type of Yield,Type of Security,Number of Coupons p.a.,Currency,Group Code,First Issue Date,Maturity Date,Days to Maturity,Total Issue Amount Nom.,Last Issue date,Last Issue Price,Last Issue Yield % (simple p.a.),Reference Price (TRY),Next Coupon Date,Next Coupon Rate %,Spread (%) (*),Outstanding Value,Quotation Method,Accrued Int./Lease,Clean Price,Dirty Price,Settlement Price,Yield,Compound Yield,Day Count Convention,Remarks
,,,,,,,,,,,,,(1000 TRY/USD/EUR),,,,,,,,(1000 TRY),,,,,,,,,
1.0,TRT130416T11,,Hazine / Turkish Treasury,İhale / Auction,İskontolu / Discounted,Devlet Tahvili / Government Bond,-,TRY,101.0,42053.0,42473.0,58.0,991947.457,42053.0,91.124,8.44,98.485,,,,976919.453026,Basit Getiri/Simple Yield,-,-,Formül 1/Formula 1,Kirli Fiyat/Dirty Price,Giriş/Input,Formül 3/Formula 3,Act/365,
2.0,TRT080616T16,,Hazine / Turkish Treasury,İhale / Auction,İskontolu / Discounted,Devlet Tahvili / Government Bond,-,TRY,101.0,42102.0,42529.0,114.0,833978.233,42102.0,90.354,9.1,96.975,,,,808750.391452,Basit Getiri/Simple Yield,-,-,Formül 1/Formula 1,Kirli Fiyat/Dirty Price,Giriş/Input,Formül 3/Formula 3,Act/365,
3.0,TRT170816T13,,Hazine / Turkish Treasury,İhale / Auction,İskontolu / Discounted,Devlet Tahvili / Government Bond,-,TRY,101.0,42235.0,42599.0,184.0,839000.0,42235.0,90.073,11.02,95.087,,,,797779.93,Basit Getiri/Simple Yield,-,-,Formül 1/Formula 1,Kirli Fiyat/Dirty Price,Giriş/Input,Formül 3/Formula 3,Act/365,
4.0,TRT141216T10,,Hazine / Turkish Treasury,İhale / Auction,İskontolu / Discounted,Devlet Tahvili / Government Bond,-,TRY,101.0,42284.0,42718.0,303.0,1447988.0,42326.0,89.965,11.15,91.728,,,,1328210.43264,Basit Getiri/Simple Yield,-,-,Formül 1/Formula 1,Kirli Fiyat/Dirty Price,Giriş/Input,Formül 3/Formula 3,Act/365,
5.0,TRT010420T19,,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,2.0,TRY,108.0,40282.0,43922.0,1507.0,7735663.963,40506.0,122.152,3.56,165.188,42466.0,2.0,,12778388.5872,Temiz Fiyat/Clean Price,Formül 5/Formula 5,Giriş/Input,Formül 6/Formula 6,Formül 8/Formula 8,Formül 2/Formula 2,Formül 4/Formula 4,Act/Act ISMA,"Son kupon döneminde getiri hesabında Formül 9, bileşik getiri hesabında Formül 3 kullanılmaktadır. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations."
6.0,TRT010420T27,TRT010420T19,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43922.0,1507.0,,40506.0,,,165.188,,,,,Temiz Fiyat/Clean Price,Formül 5/Formula 5,Giriş/Input,Formül 6/Formula 6,Formül 8/Formula 8,Formül 2/Formula 2,Formül 4/Formula 4,Act/Act ISMA,"Son kupon döneminde getiri hesabında Formül 9, bileşik getiri hesabında Formül 3 kullanılmaktadır. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations."
7.0,TRT060416K27,TRT010420T27,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,42466.0,51.0,,40506.0,,,3.064,,,,,Kirli Fiyat/Dirty Price,-,-,Giriş/Input,Formül 8/Formula 8,-,-,-,
8.0,TRT051016K20,TRT010420T27,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,42648.0,233.0,,40506.0,,,3.027,,,,,Kirli Fiyat/Dirty Price,-,-,Giriş/Input,Formül 8/Formula 8,-,-,-,
9.0,TRT050417K19,TRT010420T27,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,42830.0,415.0,,40506.0,,,2.99,,,,,Kirli Fiyat/Dirty Price,-,-,Giriş/Input,Formül 8/Formula 8,-,-,-,
10.0,TRT041017K12,TRT010420T27,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43012.0,597.0,,40506.0,,,2.953,,,,,Kirli Fiyat/Dirty Price,-,-,Giriş/Input,Formül 8/Formula 8,-,-,-,
11.0,TRT040418K19,TRT010420T27,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43194.0,779.0,,40506.0,,,2.918,,,,,Kirli Fiyat/Dirty Price,-,-,Giriş/Input,Formül 8/Formula 8,-,-,-,
12.0,TRT031018K12,TRT010420T27,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43376.0,961.0,,40506.0,,,2.882,,,,,Kirli Fiyat/Dirty Price,-,-,Giriş/Input,Formül 8/Formula 8,-,-,-,
13.0,TRT030419K19,TRT010420T27,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43558.0,1143.0,,40506.0,,,2.847,,,,,Kirli Fiyat/Dirty Price,-,-,Giriş/Input,Formül 8/Formula 8,-,-,-,
14.0,TRT021019K12,TRT010420T27,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43740.0,1325.0,,40506.0,,,2.813,,,,,Kirli Fiyat/Dirty Price,-,-,Giriş/Input,Formül 8/Formula 8,-,-,-,
15.0,TRT010420K18,TRT010420T27,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43922.0,1507.0,,40506.0,,,2.778,,,,,Kirli Fiyat/Dirty Price,-,-,Giriş/Input,Formül 8/Formula 8,-,-,-,
16.0,TRT010420A10,TRT010420T27,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43922.0,1507.0,,40506.0,,,138.916,,,,,Kirli Fiyat/Dirty Price,-,-,Giriş/Input,Formül 8/Formula 8,-,-,-,
17.0,TRT060121T16,,Hazine / Turkish Treasury,İhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,2.0,TRY,108.0,40562.0,44202.0,1787.0,7509416.0,40646.0,102.476,3.0,150.055,42564.0,1.5,,11268254.1788,Temiz Fiyat/Clean Price,Formül 5/Formula 5,Giriş/Input,Formül 6/Formula 6,Formül 8/Formula 8,Formül 2/Formula 2,Formül 4/Formula 4,Act/Act ISMA,"Son kupon döneminde getiri hesabında Formül 9, bileşik getiri hesabında Formül 3 kullanılmaktadır. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations."
