ISIN Kodu;?lgili Menkul K?ymet;?hraçc? Kurum;?hraç Türü;Getiri Türü;MK Türü;Y?ll?k Kupon Say?s?;Para Birimi;Grup Kodu;?lk ?hraç Tarihi;?tfa Tarihi;Vadeye Kalan Gün;Toplam ?hraç Tutar? Nom.;Son ?hraç Tarihi;Son ?hraç Fiyat?;Son ?hraç Getirisi % (y?ll?k basit);Gösterge Fiyat;Sonraki Kupon Tarihi;Sonraki Kupon Oran? %;Ek Getiri (%) (*);Dola??mdaki Tutar;Emir Giri? Yöntemi;??lemi? Faiz/Kira;Temiz Fiyat;Kirli Fiyat;Takas Fiyat?;Getiri;Bile?ik Getiri;Gün Say?m Konvansiyonu;Aç?klamalar;Price Unit;Coupon Interest;Coupon Frequency;Calculate 364T;Odd First Period;Odd Last Period;Day Calculation Rule;Fixed Income Type;Index Value ID;Index at Dated Date;Instrument Classification;Calculation Rule;Calculate Corresponding Yield/Price;Calculate Compound Yield;
ISIN Code;Related Security;Issuer;Type of Issuance;Type of Yield;Type of Security;Number of Coupons p.a.;Currency;Group Code;First Issue Date;Maturity Date;Days to Maturity;Total Issue Amount Nom.;Last Issue date;Last Issue Price;Last Issue Yield % (simple p.a.);Reference Price (TRY);Next Coupon Date;Next Coupon Rate %;Spread (%) (*);Outstanding Value;Quotation Method;Accrued Int./Lease;Clean Price;Dirty Price;Settlement Price;Yield;Compound Yield;Day Count Convention;Remarks;;;;;;;;;;;;;;;??RKET KODU
TRT130416T11;;Hazine / Turkish Treasury;?hale / Auction;?skontolu / Discounted;Devlet Tahvili / Government Bond;-;TRY;101;18.02.2015;13.04.2016;43;991947.457;18.02.2015;91.124;8.44;98.916;;;;981194.74656612;Basit Getiri/Simple Yield;-;-;Formül 1/Formula 1;Kirli Fiyat/Dirty Price;Giri?/Input;Formül 3/Formula 3;Act/365;;Yield;0;0;-;-;-;ACT365;Type 1;-;-;101C;FT1-DISCOUNT;?;?;TRSRY
TRT080616T16;;Hazine / Turkish Treasury;?hale / Auction;?skontolu / Discounted;Devlet Tahvili / Government Bond;-;TRY;101;08.04.2015;08.06.2016;99;833978.233;08.04.2015;90.354;9.1;97.698;;;;814780.05407634;Basit Getiri/Simple Yield;-;-;Formül 1/Formula 1;Kirli Fiyat/Dirty Price;Giri?/Input;Formül 3/Formula 3;Act/365;;Yield;0;0;-;-;-;ACT365;Type 1;-;-;101C;FT1-DISCOUNT;?;?;TRSRY
TRT170816T13;;Hazine / Turkish Treasury;?hale / Auction;?skontolu / Discounted;Devlet Tahvili / Government Bond;-;TRY;101;19.08.2015;17.08.2016;169;839000;19.08.2015;90.073;11.02;95.934;;;;804886.26;Basit Getiri/Simple Yield;-;-;Formül 1/Formula 1;Kirli Fiyat/Dirty Price;Giri?/Input;Formül 3/Formula 3;Act/365;;Yield;0;0;-;-;-;ACT365;Type 1;-;-;101C;FT1-DISCOUNT;?;?;TRSRY
TRT141216T10;;Hazine / Turkish Treasury;?hale / Auction;?skontolu / Discounted;Devlet Tahvili / Government Bond;-;TRY;101;07.10.2015;14.12.2016;288;1447988;18.11.2015;89.965;11.15;92.239;;;;1335609.65132;Basit Getiri/Simple Yield;-;-;Formül 1/Formula 1;Kirli Fiyat/Dirty Price;Giri?/Input;Formül 3/Formula 3;Act/365;;Yield;0;0;-;-;-;ACT365;Type 1;-;-;101C;FT1-DISCOUNT;?;?;TRSRY
TRT010420T19;;Hazine / Turkish Treasury;?hale / Auction;TÜFE'ye endeksli / Indexed to CPI;Devlet Tahvili / Government Bond;2;TRY;108;14.04.2010;01.04.2020;1492;7735663.963;24.11.2010;122.152;3.56;166.027;06.04.2016;2;;12843290.80785;Temiz Fiyat/Clean Price;Formül 5/Formula 5;Giri?/Input;Formül 6/Formula 6;Formül 8/Formula 8;Formül 2/Formula 2;Formül 4/Formula 4;Act/Act ISMA;"Son kupon döneminde getiri hesab?nda Formül 9; bile?ik getiri hesab?nda Formül 3 kullan?lmaktad?r. / During the last coupon period Formula 9 is used for the simple yield; and Formula 3 is used for the compound yield calculations.";Clean Price();4;2;?;-;-;ACT/ACT ISMA;Type 5;FI_CPI;175.162;108C;FT5-CPILINKD;?;?;TRSRY
TRT010420T27;TRT010420T19;Hazine / Turkish Treasury;?hale / Auction;TÜFE'ye endeksli / Indexed to CPI;Devlet Tahvili / Government Bond;;TRY;108;14.04.2010;01.04.2020;1492;;24.11.2010;;;166.027;;;;;Temiz Fiyat/Clean Price;Formül 5/Formula 5;Giri?/Input;Formül 6/Formula 6;Formül 8/Formula 8;Formül 2/Formula 2;Formül 4/Formula 4;Act/Act ISMA;"Son kupon döneminde getiri hesab?nda Formül 9; bile?ik getiri hesab?nda Formül 3 kullan?lmaktad?r. / During the last coupon period Formula 9 is used for the simple yield; and Formula 3 is used for the compound yield calculations.";Clean Price();4;2;?;-;-;ACT/ACT ISMA;Type 5;FI_CPI;175.162;108D;FT5-CPILINKD;?;?;TRSRY
TRT060416K27;TRT010420T27;Hazine / Turkish Treasury;?hale / Auction;TÜFE'ye endeksli / Indexed to CPI;Devlet Tahvili / Government Bond;;TRY;108;14.04.2010;06.04.2016;36;;24.11.2010;;;3.07;;;;;Kirli Fiyat/Dirty Price;-;-;Giri?/Input;Formül 8/Formula 8;-;-;-;;Dirty Price();0;0;-;-;-;-;Type 4;FI_CPI;175.162;108D;FT4-CPISTRIP;;;TRSRY
TRT051016K20;TRT010420T27;Hazine / Turkish Treasury;?hale / Auction;TÜFE'ye endeksli / Indexed to CPI;Devlet Tahvili / Government Bond;;TRY;108;14.04.2010;05.10.2016;218;;24.11.2010;;;3.034;;;;;Kirli Fiyat/Dirty Price;-;-;Giri?/Input;Formül 8/Formula 8;-;-;-;;Dirty Price();0;0;-;-;-;-;Type 4;FI_CPI;175.162;108D;FT4-CPISTRIP;;;TRSRY
TRT050417K19;TRT010420T27;Hazine / Turkish Treasury;?hale / Auction;TÜFE'ye endeksli / Indexed to CPI;Devlet Tahvili / Government Bond;;TRY;108;14.04.2010;05.04.2017;400;;24.11.2010;;;2.999;;;;;Kirli Fiyat/Dirty Price;-;-;Giri?/Input;Formül 8/Formula 8;-;-;-;;Dirty Price();0;0;-;-;-;-;Type 4;FI_CPI;175.162;108D;FT4-CPISTRIP;;;TRSRY
